# Ionization energy in eV of H-like, He-like, and Li-like ions, retrieved from NIST Atomic Spectra Database Ionization Energies Form.
Element,Q,Ionization,Uncertainty
H,0,13.598434599702,0.000000000012
He,0,24.587389011,0.000000025
He,1,54.417765486,0.000000025
Li,0,5.391714996,0.000000022
Li,1,75.6400970,0.0000012
Li,2,122.45435914,0.00000025
Be,1,18.21115,0.00004
Be,2,153.896205,0.000004
Be,3,217.7185861,0.0000010
B,2,37.93059,0.00007
B,3,259.3715,0.0025
B,4,340.2260229,0.0000025
C,3,64.49352,0.00019
C,4,392.090518,0.000025
C,5,489.993198,0.000006
N,4,97.8901,0.0004
N,5,552.06733,0.00004
N,6,667.046121,0.000012
O,5,138.1189,0.0021
O,6,739.32683,0.00006
O,7,871.409883,0.000025
F,6,185.1868,0.0006
F,7,953.89805,0.00010
F,8,1103.11748,0.00005
Ne,7,239.0970,0.0019
Ne,8,1195.80784,0.00015
Ne,9,1362.19916,0.00009
Na,8,299.856,0.007
Na,9,1465.134502,0.000025
Na,10,1648.70220,0.00012
Mg,9,367.489,0.007
Mg,10,1761.80488,0.00020
Mg,11,1962.66366,0.00012
Al,10,442.005,0.007
Al,11,2085.97702,0.00020
Al,12,2304.14007,0.00025
Si,11,523.415,0.007
Si,12,2437.65815,0.00020
Si,13,2673.17755,0.00025
P,12,611.741,0.007
P,13,2816.90879,0.00020
P,14,3069.8416,0.0004
S,13,706.994,0.007
S,14,3223.7807,0.0003
S,15,3494.1879,0.0005
Cl,14,809.198,0.007
Cl,15,3658.3438,0.0003
Cl,16,3946.2909,0.0006
Ar,15,918.375,0.007
Ar,16,4120.6657,0.0004
Ar,17,4426.2229,0.0007
K,16,1034.542,0.007
K,17,4610.87018,0.00012
K,18,4934.0484,0.0009
Ca,17,1157.726,0.007
Ca,18,5128.8578,0.0005
Ca,19,5469.8616,0.0010
Sc,18,1287.957,0.007
Sc,19,5674.9037,0.0006
Sc,20,6033.7542,0.0012
Ti,19,1425.257,0.007
Ti,20,6249.0226,0.0006
Ti,21,6625.8073,0.0012
V,20,1569.656,0.007
V,21,6851.3109,0.0007
V,22,7246.1226,0.0012
Cr,21,1721.183,0.007
Cr,22,7481.8628,0.0007
Cr,23,7894.7992,0.0025
Mn,22,1879.873,0.007
Mn,23,8140.7872,0.0010
Mn,24,8571.9488,0.0025
Fe,23,2045.759,0.007
Fe,24,8828.1879,0.0011
Fe,25,9277.6818,0.0025
Co,24,2218.876,0.007
Co,25,9544.1833,0.0012
Co,26,10012.122,0.004
Ni,25,2399.259,0.007
Ni,26,10288.8862,0.0014
Ni,27,10775.386,0.004
Cu,26,2586.954,0.007
Cu,27,11062.4313,0.0016
Cu,28,11567.613,0.004
Zn,27,2781.996,0.007
Zn,28,11864.9399,0.0019
Zn,29,12388.929,0.005
Ga,28,2984.426,0.007
Ga,29,12696.5575,0.0021
Ga,30,13239.489,0.006
